industry,date_y,index_x_x,size_real_x,target_founded_x,index_x_y,size_real_y,target_founded_y
Alternative Medicine,2011,54662.0,121882.867894985,2010.0,,,
Alternative Medicine,2019,401534.6666666667,5233789.706510879,2004.6666666666667,13942.874249355229,5881533.886629242,2.081665999466142
Biotechnology,2000,378150.4,12443534.190625548,2000.1076923076923,225806.23990359524,18133606.274542347,0.5038314736557772
Biotechnology,2001,300484.45945945947,11875040.992455753,2000.6148648648648,244095.36076319436,16392073.427503932,0.5284253163386662
Biotechnology,2002,266552.7379032258,21861528.544397444,2000.7862903225807,249557.5554611091,32691983.65926035,0.690224944547734
Biotechnology,2003,257382.68681318683,16509443.978540722,2001.1868131868132,247635.3542371323,23770808.515614845,1.0813546641409177
Biotechnology,2004,167225.3950617284,35515413.524849616,2001.5061728395062,227056.92162800313,59030676.20162511,1.2870591313829607
Biotechnology,2005,151811.14153846152,27067336.787538428,2002.1538461538462,226597.81227668253,24631786.09636334,1.35435704337874
Biotechnology,2006,110942.55981941309,34091673.055591755,2002.7426636568848,193939.64327262502,25331811.469974678,1.7493784655061924
Biotechnology,2007,57228.5,32159012.316897564,2003.0964125560538,138984.94655374443,25858815.64887392,1.8632183465560086
Biotechnology,2008,60231.669902912625,24242246.607170366,2003.9223300970873,139781.06967356303,23787775.97513208,2.4851088470308293
Biotechnology,2009,28027.466487935657,20391002.108889695,2004.0509383378017,64329.38455188899,31232255.91089898,2.657932017900095
Biotechnology,2010,51693.648148148146,15546506.432324456,2004.75,103096.33678669459,18722814.95649799,2.632700999180104
Biotechnology,2011,31405.452991452992,19830546.031929474,2004.3817663817663,54135.56602744034,23610982.931095913,2.8197483701531065
Biotechnology,2012,35081.39312039312,17952368.826349206,2004.7788697788699,56355.04881139515,20283398.797230765,3.0601918385799514
Biotechnology,2013,49285.74137931035,16911962.45105531,2005.5931034482758,72402.95783711215,22954027.175095443,2.9116079618515647
Biotechnology,2014,66435.63636363637,23718614.313390657,2006.2386363636363,72981.10314651854,32110756.06129788,2.93323355767303
Biotechnology,2015,110284.59561128527,44639815.66783142,2006.4639498432603,113570.35913522178,61943995.183023274,3.1639356428652436
Biotechnology,2016,112555.90875912408,23565852.089928627,2006.6204379562043,111237.92903638128,28550699.42679401,2.9788789760599177
Biotechnology,2017,152869.24277456646,35967713.01473578,2007.5260115606936,122580.76153447141,63791996.689682126,2.6205060624088534
Biotechnology,2018,197909.38955823294,39993935.350458086,2006.2449799196788,134821.32678049,59470901.34126153,3.211657335759365
Biotechnology,2019,165644.68458781362,53928802.116092116,2006.7921146953406,140677.99812905354,86217409.42066957,3.083923650209888
Biotechnology,2020,210302.9452887538,52235363.03606961,2006.1337386018238,172970.21031613497,93205943.53100261,3.178680650107054
Dental Products & Services,2002,518699.0,150715.07150715071,2001.0,,,
Dental Products & Services,2004,518699.0,13306937.923839333,2001.0,0.0,0.0,0.0
Dental Products & Services,2005,264799.5,3300657.1615790306,2002.5,359068.11637974763,4134312.8613314503,2.1213203435596424
Dental Products & Services,2006,544807.0,3258671.9524281463,2000.0,,,
Dental Products & Services,2007,79059.0,3299566.961941784,2006.0,0.0,0.0,0.0
Dental Products & Services,2008,289412.1666666667,5969279.800644425,2002.3333333333333,281310.1017350189,4563871.714250744,2.6583202716502634
Dental Products & Services,2009,95700.0,2101889.1149236555,2005.5,183171.9699961916,3002604.30546995,2.390457218668799
Dental Products & Services,2010,17702.666666666668,2558358.1102476795,2006.3333333333333,5579.678007436152,2514164.2075712127,1.0327955589886035
Dental Products & Services,2011,129408.07142857143,7792309.043811298,2005.2142857142858,184558.35360726775,13782488.497873565,2.3592231912080712
Dental Products & Services,2012,111237.76923076923,6168218.3971204255,2006.6923076923076,115855.79866882929,5552331.048643541,1.0315534712765002
